End (ISO 8601),End Date,End Time (24 Hour),End Timestamp (Unix),End Timezone (UTC Offset Minutes),Duration (Seconds)
2025-05-07T19:12:00.000-04:00,2025-05-07,19:12:00,1746659520,-240,1500
2025-05-15T17:21:00.000-04:00,2025-05-15,17:21:00,1747344060,-240,1500
2025-05-15T18:04:00.000-04:00,2025-05-15,18:04:00,1747346640,-240,1500
2025-10-03T13:21:00.000-04:00,2025-10-03,13:21:00,1759512060,-240,1500
2025-10-03T14:01:00.000-04:00,2025-10-03,14:01:00,1759514460,-240,1500
2025-10-03T14:41:00.000-04:00,2025-10-03,14:41:00,1759516860,-240,1500
2025-10-03T15:21:00.000-04:00,2025-10-03,15:21:00,1759519260,-240,1500
2025-10-03T16:01:00.000-04:00,2025-10-03,16:01:00,1759521660,-240,1500
2025-10-04T16:19:00.000-04:00,2025-10-04,16:19:00,1759609140,-240,1500
2025-10-04T16:59:00.000-04:00,2025-10-04,16:59:00,1759611540,-240,1500
2025-10-04T17:39:00.000-04:00,2025-10-04,17:39:00,1759613940,-240,1500
2025-10-04T18:19:00.000-04:00,2025-10-04,18:19:00,1759616340,-240,1500
2025-10-05T16:47:00.000-04:00,2025-10-05,16:47:00,1759697220,-240,1500
2025-10-05T17:15:00.000-04:00,2025-10-05,17:15:00,1759698900,-240,1500
2025-10-05T17:43:00.000-04:00,2025-10-05,17:43:00,1759700580,-240,1500
2025-10-05T19:16:00.000-04:00,2025-10-05,19:16:00,1759706160,-240,1500
2025-10-05T19:43:00.000-04:00,2025-10-05,19:43:00,1759707780,-240,1500
2025-10-08T12:32:00.000-04:00,2025-10-08,12:32:00,1759941120,-240,1500
2025-10-08T14:52:00.000-04:00,2025-10-08,14:52:00,1759949520,-240,1500
2025-10-08T21:24:00.000-04:00,2025-10-08,21:24:00,1759973040,-240,1500
2025-10-08T21:50:00.000-04:00,2025-10-08,21:50:00,1759974600,-240,1500
2025-10-09T12:39:00.000-04:00,2025-10-09,12:39:00,1760027940,-240,1500
2025-10-10T12:40:00.000-04:00,2025-10-10,12:40:00,1760114400,-240,1500
2025-10-11T21:51:00.000-04:00,2025-10-11,21:51:00,1760233860,-240,1500
2025-10-11T22:16:00.000-04:00,2025-10-11,22:16:00,1760235360,-240,1500
2025-10-11T22:42:00.000-04:00,2025-10-11,22:42:00,1760236920,-240,1500
